Text1,Text2,Similarity
"Image editing is a commonly studied problem in computer graphics. Despite the presence of many advanced editing tools, there is no satisfactory solution to controllably update the position of the sun using a single image. This problem is made complicated by the presence of clouds, complex landscapes, and the atmospheric effects that must be accounted for. In this paper, we tackle this problem starting with only a single photograph. With the user clicking on the initial position of the sun, our algorithm performs several estimation and segmentation processes for finding the horizon, scene depth, clouds, and the sky line. After this initial process, the user can make both fine- and large-scale changes on the position of the sun: it can be set beneath the mountains or moved behind the clouds practically turning a midday photograph into a sunset (or vice versa). We leverage a precomputed atmospheric scattering algorithm to make all of these changes not only realistic but also in real-time. We demonstrate our results using both clear and cloudy skies, showing how to add, remove, and relight clouds, all the while allowing for advanced effects such as scattering, shadows, light shafts, and lens flares","Despite advanced editing tools, there is no satisfactory way to adjust the sun's position in a single image, due to clouds, complex landscapes, and atmospheric effects. This paper proposes a solution, starting with a single photograph. With the user clicking the initial position of the sun, the algorithm performs estimation and segmentation to find the horizon, scene depth, clouds, and sky line. Subsequently, the user can make fine- and large-scale changes to the sun's position - beneath mountains or behind clouds - practically transforming a midday photo into a sunset (or vice versa). Leveraging precomputed atmospheric scattering, these changes are both realistic and real-time. Results using clear and cloudy skies demonstrate the ability to add, remove, and relight clouds, while also allowing for scattering, shadows, light shafts, and lens flares.",1
"Learning robust representations is critical for the success of person re-identification and attribute recognition systems. However, to achieve this, we must use a large dataset of diverse person images as well as annotations of identity labels and/or a set of different attributes. Apart from the obvious concerns about privacy issues, the manual annotation process is both time consuming and too costly. In this paper, we instead propose to use synthetic person images for addressing these difficulties. Specifically, we first introduce Synthetic18K, a large-scale dataset of over 1 million computer generated person images of 18K unique identities with relevant attributes. Moreover, we demonstrate that pretraining of simple deep architectures on Synthetic18K for person re-identification and attribute recognition and then fine-tuning on real data leads to significant improvements in prediction performances, giving results better than or comparable to state-of-the-art models.","Obtaining strong representations is essential for the success of person re-identification and attribute recognition systems. To accomplish this, a considerable amount of diverse person images and annotations of identity labels/attributes must be employed. This manual annotation process is expensive and time consuming, as well as a potential privacy issue. We propose using synthetic person images to address these problems. To this end, we introduce Synthetic18K, a large dataset of 1 million computer generated person images of 18K distinct identities with corresponding attributes. We show that pretraining simple deep architectures on Synthetic18K for person re-identification and attribute recognition, followed by fine-tuning on real data, leads to enhanced prediction performances, surpassing or equaling state-of-the-art models.",1
"Today, the cutting edge of computer vision research greatly depends on the availability of large datasets, which are critical for effectively training and testing new methods. Manually annotating visual data, however, is not only a labor-intensive process but also prone to errors. In this study, we present NOVA, a versatile framework to create realistic-looking 3D rendered worlds containing procedurally generated humans with rich pixel-level ground truth annotations. NOVA can simulate various environmental factors such as weather conditions or different times of day, and bring an exceptionally diverse set of humans to life, each having a distinct body shape, gender and age. To demonstrate NOVA’s capabilities, we generate two synthetic datasets for person tracking. The first one includes 108 sequences, each with different levels of difficulty like tracking in crowded scenes or at nighttime and aims for testing the limits of current state-of-the-art trackers. A second dataset of 97 sequences with normal weather conditions is used to show how our synthetic sequences can be utilized to train and boost the performance of deep-learning based trackers. Our results indicate that the synthetic data generated by NOVA represents a good proxy of the real-world and can be exploited for computer vision tasks.","Research in computer vision depends on large datasets, which are essential for training and testing new methods. Creating these datasets manually, however, is time-consuming and prone to errors. This study presents NOVA, a framework for generating 3D rendered worlds with procedurally generated humans with accurate pixel-level annotations. NOVA can simulate various environmental factors, such as weather and time of day, and create distinct humans in terms of body shape, gender, and age. To showcase NOVA's potential, two synthetic datasets for person tracking were generated. The first, consisting of 108 sequences with varying levels of difficulty, was used to test the limits of current trackers. The second, with 97 sequences in normal weather conditions, was used to train and improve the performance of deep-learning based trackers. Results indicate that the synthetic data generated by NOVA is a good representation of the real world and can be used for computer vision tasks.",1
"Virtual and augmented reality (VR/AR) systems dramatically gained in popularity with various application areas such as gaming, social media, and communication. It is therefore a crucial task to have the knowhow to efficiently utilize, store or deliver 360◦ videos for end-users. Towards this aim, researchers have been developing deep neural network models for 360◦ multimedia processing and computer vision fields. In this line of work, an important research direction is to build models that can learn and predict the observers’ attention on 360◦ videos to obtain so-called saliency maps computationally. Although there are a few saliency models proposed for this purpose, these models generally consider only visual cues in video frames by neglecting audio cues from sound sources. In this study, an unsupervised frequency-based saliency model is presented for predicting the strength and location of saliency in spatial audio. The prediction of salient audio cues is then used as audio bias on the video saliency predictions of state-of-the-art models. Our experiments yield promising results and show that integrating the proposed spatial audio bias into the existing video saliency models consistently improves their performance. ","The utilization, storage and delivery of 360◦ videos for users has become increasingly important with the rise of VR/AR systems in gaming, social media and communication. To achieve this, researchers have been devising deep neural network models for 360◦ multimedia processing and computer vision. A key focus is to create models that can ascertain the attention of observers on 360◦ videos, known as saliency maps. Existing saliency models mainly take visual cues from video frames into account, ignoring audio cues from sound sources. This paper presents an unsupervised frequency-based saliency model to predict the strength and location of saliency in spatial audio. This prediction of salient audio cues is then used to augment the video saliency predictions of state-of-the-art models. Experiments show that integrating the proposed spatial audio bias into existing video saliency models improves their performance.",1
"Predicting saliency in videos is a challenging problem due to complex modeling of interactions between spatial and temporal information, especially when ever-changing, dynamic nature of videos is considered. Recently, researchers have proposed large-scale data sets and models that take advantage of deep learning as a way to understand what is important for video saliency. These approaches, however, learn to combine spatial and temporal features in a static manner and do not adapt themselves much to the changes in the video content. In this article, we introduce the gated fusion network for dynamic saliency (GFSalNet), the first deep saliency model capable of making predictions in a dynamic way via the gated fusion mechanism. Moreover, our model also exploits spatial and channelwise attention within a multiscale architecture that further allows for highly accurate predictions. We evaluate the proposed approach on a number of data sets, and our experimental analysis demonstrates that it outperforms or is highly competitive with the state of the art. Importantly, we show that it has a good generalization ability, and moreover, exploits temporal information more effectively via its adaptive fusion scheme.","Predicting saliency in videos is a difficult task due to complexity of spatial and temporal interactions, especially when video content is constantly changing. To understand what is important for video saliency, researchers have proposed large-scale data sets and models using deep learning. These models, however, combine spatial and temporal features in a static manner, not adapting to changes in video content. This article introduces GFSalNet, the first deep saliency model with an adaptive fusion mechanism and multiscale architecture that can make predictions dynamically. Experiments show that GFSalNet outperforms or is highly competitive with the state of the art, has good generalization ability, and exploits temporal information more effectively.",1
"Robust visual tracking plays a vital role in many areas such as autonomous cars, surveillance and robotics. Recent trackers were shown to achieve adequate results under normal tracking scenarios with clear weather conditions, standard camera setups and lighting conditions. Yet, the performance of these trackers, whether they are corre- lation filter-based or learning-based, degrade under adverse weather conditions. The lack of videos with such weather conditions, in the available visual object tracking datasets, is the prime issue behind the low perfor- mance of the learning-based tracking algorithms. In this work, we provide a new person tracking dataset of real-world sequences (PTAW172Real) captured under foggy, rainy and snowy weather conditions to assess the performance of the current trackers. We also introduce a novel person tracking dataset of synthetic sequences (PTAW217Synth) procedurally generated by our NOVA framework spanning the same weather conditions in varying severity to mitigate the problem of data scarcity. Our experimental results demonstrate that the perfor- mances of the state-of-the-art deep trackers under adverse weather conditions can be boosted when the avail- able real training sequences are complemented with our synthetically generated dataset during training.","Visual tracking is essential in autonomous cars, surveillance and robotics. Recent trackers can achieve satisfactory results in normal conditions, but their performance deteriorates in adverse weather. A major obstacle to improving deep tracker performance in such conditions is the lack of videos in available datasets. To address this issue, we present two datasets: PTAW172Real, containing real-world sequences in foggy, rainy and snowy weather, and PTAW217Synth, composed of synthetically generated sequences of varying severity. Our results demonstrate that the performance of state-of-the-art deep trackers can be improved when both real and synthetic datasets are used for training.",1
"Automatic generation of video descriptions in natural language, also called video captioning, aims to understand the visual content of the video and produce a natural language sentence depicting the objects and actions in the scene. This challenging integrated vision and language problem, however, has been predominantly addressed for English. The lack of data and the linguistic properties of other languages limit the success of existing approaches for such languages. In this paper we target Turkish, a morphologically rich and agglutinative language that has very different properties compared to English. To do so, we create the frst large-scale video captioning dataset for this language by carefully translating the English descriptions of the videos in the MSVD (Microsoft Research Video Description Corpus) dataset into Turkish. In addition to enabling research in video captioning in Turkish, the parallel English–Turkish descriptions also enable the study of the role of video context in (multimodal) machine translation. In our experiments, we build models for both video captioning and multimodal machine translation and investigate the efect of diferent word segmentation approaches and diferent neural architectures to better address the properties of Turkish. We hope that the MSVD-Turkish dataset and the results reported in this work will lead to better video captioning and multimodal machine translation models for Turkish and other morphology rich and agglutinative languages.","The goal of automatic video description generation in natural language, also known as video captioning, is to comprehend the video's visual content and form a natural language sentence illustrating the objects and actions taking place. However, this challenging combination of vision and language has mainly been studied in English. The lack of data and the linguistic characteristics of other languages impede the effectiveness of current approaches for those languages. This paper focuses on Turkish, a morphologically complex and agglutinative language that has different properties than English. To do this, we create the first extensive video captioning dataset for this language by translating the English descriptions of the MSVD (Microsoft Research Video Description Corpus) dataset into Turkish. In addition to allowing research in video captioning in Turkish, the parallel English–Turkish descriptions also enable the investigation of the role of video context in (multimodal) machine translation. Our experiments develop models for both video captioning and multimodal machine translation and examine the effect of various word segmentation approaches and various neural architectures to better address the properties of Turkish. We trust that the MSVD-Turkish dataset and the results reported in this work will result in improved video captioning and multimodal machine translation models for Turkish and other morphologically complex and agglutinative languages.",1
"Collecting textual descriptions is an especially costly task for dense video captioning, since each event in the video needs to be annotated separately and a long descriptive paragraph needs to be provided. In this paper, we investigate a way to mitigate this heavy burden and propose to leverage captions of visually similar images as auxiliary context. Our model successfully fetches visually relevant images and combines noun and verb phrases from their captions to generating coherent descriptions. To this end, we use a generator and discriminator design, together with an attention-based fusion technique, to incorporate image captions as context in the video caption generation process. The experiments on the challenging ActivityNet Captions dataset demonstrate that our proposed approach achieves more accurate and more diverse video descriptions compared to the strong baseline using METEOR, BLEU and CIDEr-D metrics and qualitative evaluations.","The cost of collecting textual descriptions for dense video captioning is high, since each event in the video must be labeled separately and a long descriptive paragraph is required. To reduce this burden, we propose using captions of visually similar images as supplementary context. Our model finds visually related images and merges noun and verb phrases from their captions to form coherent descriptions. We apply a generator and discriminator design, combined with an attention-based fusion method, to incorporate image captions into the video caption generation process. Results from experiments on the ActivityNet Captions dataset show our approach produces more accurate and varied video descriptions compared to the strong baseline using METEOR, BLEU and CIDEr-D metrics and qualitative assessments.",1
"Multi-contrast MRI protocols increase the level of morphological information available for diagnosis. Yet, the number and quality of contrasts are limited in practice by various factors including scan time and patient motion. Synthesis of missing or corrupted contrasts from other high-quality ones can alleviate this limitation. When a single target contrast is of interest, common approaches for multi-contrast MRI involve either one-to-one or many-to-one synthesis methods depending on their input. One-to-one meth- ods take as input a single source contrast, and they learn a latent representation sensitive to unique fea- tures of the source. Meanwhile, many-to-one methods receive multiple distinct sources, and they learn a shared latent representation more sensitive to common features across sources. For enhanced image synthesis, we propose a multi-stream approach that aggregates information across multiple source im- ages via a mixture of multiple one-to-one streams and a joint many-to-one stream. The complementary feature maps generated in the one-to-one streams and the shared feature maps generated in the many- to-one stream are combined with a fusion block. The location of the fusion block is adaptively modified to maximize task-specific performance. Quantitative and radiological assessments on T1 ,- T2-, PD-weighted, and FLAIR images clearly demonstrate the superior performance of the proposed method compared to previous state-of-the-art one-to-one and many-to-one methods.","Multi-contrast MRI protocols provide more morphological info for diagnosis, but are restricted by scan time and patient motion. Synthesizing missing or corrupted contrasts from high-quality ones can alleviate this. Common approaches for multi-contrast MRI involve either one-to-one or many-to-one synthesis methods, depending on their input. One-to-one methods take a single source contrast as input and learn a latent representation that is sensitive to the source's unique features, while many-to-one methods receive multiple distinct sources and learn a shared latent representation more sensitive to common features across sources. We propose a multi-stream approach which aggregates information from multiple source images via a mixture of one-to-one streams and a joint many-to-one stream, with a fusion block whose location is adapted to maximize task-specific performance. Quantitative and radiological assessments on T1, T2, PD-weighted, and FLAIR images show the proposed method outperforms previous one-to-one and many-to-one methods.",1
"Pushing is an essential non-prehensile manipulation skill used for tasks ranging from pre-grasp manipulation to scene rearrangement, reasoning about object relations in the scene, and thus pushing actions have been widely studied in robotics. The effective use of pushing actions often requires an understanding of the dynamics of the manipulated objects and adaptation to the discrepancies between prediction and reality. For this reason, effect prediction and parameter estimation with pushing actions have been heavily investigated in the literature. However, current approaches are limited because they either model systems with a fixed number of objects or use image-based representations whose outputs are not very interpretable and quickly accumulate errors. In this paper, we propose a graph neural network based framework for effect prediction and parameter estimation of pushing actions by modeling object relations based on contacts or articulations. Our framework is validated both in real and simulated environments containing different shaped multi-part objects connected via different types of joints and objects with different masses. Our approach enables the robot to predict and adapt the effect of a pushing action as it observes the scene. Further, we demonstrate 6D effect prediction in the lever-up action in the context of robot-based hard-disk disassembly","The utilization of pushing actions necessitates understanding the dynamics of manipulated objects and adapting to discrepancies between expectations and reality. Thus, effect prediction and parameter estimation with pushing actions have been researched extensively. However, existing approaches are limited due to either modeling systems with a fixed number of objects or utilizing image-based representations with non-interpretable outputs and accumulating errors quickly. This paper proposes a graph neural network based framework for effect prediction and parameter estimation of pushing actions, taking into account object relations based on contacts or articulations. The proposed framework is tested in both real and simulated environments with different shaped multi-part objects connected through various types of joints and objects with varying masses. The robot is enabled to predict and adjust the effect of a pushing action as it observes the scene, as well as 6D effect prediction in the lever-up action in the context of robot-based hard-disk disassembly.",1
"Pre-trained language models have been shown to improve performance in many natural language tasks substantially. Although the early focus of such models was single language pre-training, recent advances have resulted in cross-lingual and visual pre-training methods. In this paper, we combine these two approaches to learn visually-grounded crosslingual representations. Specifically, we extend the translation language modelling (Lample and Conneau, 2019) with masked region classification and perform pre-training with three-way parallel vision & language corpora. We show that when fine-tuned for multimodal machine translation, these models obtain stateof-the-art performance. We also provide qualitative insights into the usefulness of the learned grounded representations.","Pre-trained language models have been demonstrated to drastically enhance results in many natural language tasks. Initially, focus was on single language pre-training, however recent developments have led to cross-lingual and visual pre-training techniques. This paper combines these two strategies to generate visually-grounded cross-lingual representations. We extended translation language modelling (Lample and Conneau, 2019) with masked region classification and conducted pre-training with three-way parallel vision & language corpora. When fine-tuned for multimodal machine translation, these models achieved state-of-the-art performance. Additionally, we offered qualitative evidence of the utility of the acquired grounded representations.",1
